Nationalität,Diff_zu_DE_Mord_in_%,Diff_zu_DE_Totschlag_in_%,Diff_zu_DE_Körperverletzung_in_%,Diff_zu_DE_Vergewaltigung_in_%,Diff_zu_DE_Sexueller Missbrauch von Kindern_in_%,Rate_Mord_pro_100k,Rate_Totschlag_pro_100k,Rate_Körperverletzung_pro_100k,Rate_Vergewaltigung_pro_100k,Rate_Sexueller Missbrauch von Kindern_pro_100k,,Mord,Totschlag,Körperverletzung,Vergewaltigung,Sexueller Missbrauch von Kindern,,Bevölkerung_in_Deutschland
Deutschland,0.0,0.0,0.0,0.0,0.0,0.73,1.49,441.97,9.18,13.86,,521,1070,316598,6578,9930,,71633000
Afghanistan,491.0,899.61,481.74,1025.88,343.91,4.3,14.93,2571.15,103.39,61.54,,19,66,11365,457,272,,442020
Albanien,557.62,380.31,188.22,160.43,-36.74,4.78,7.17,1273.87,23.91,8.77,,6,9,1598,30,11,,125445
Algerien,963.35,4559.87,1947.35,1921.31,95.27,7.73,69.61,9048.72,185.61,27.07,,2,18,2340,48,7,,25860
Angola,,904.45,412.6,390.16,224.7,0.0,15.0,2265.57,45.01,45.01,,0,1,151,3,3,,6665
Armenien,,920.06,182.69,231.85,-34.05,0.0,15.24,1249.43,30.47,9.14,,0,5,410,10,3,,32815
Aserbaidschan,,784.14,267.54,417.74,-23.78,0.0,13.21,1624.41,47.54,10.57,,0,5,615,18,4,,37860
Athiopien,,461.28,190.23,447.8,51.2,0.0,8.38,1282.75,50.3,20.96,,0,2,306,12,5,,23855
Australien,,,-1.48,58.05,,0.0,0.0,435.41,14.51,,,0,0,60,2,0,,13780
Belgien,353.24,,102.88,151.29,-28.66,3.3,0.0,896.65,23.08,9.89,,1,0,272,7,3,,30335
Bosnien und Herzegowina,10.11,-19.58,89.18,56.98,-27.78,0.8,1.2,836.1,14.42,10.01,,2,3,2088,36,25,,249730
Brasilien,133.1,127.0,67.24,84.62,22.3,1.7,3.39,739.17,16.95,16.95,,1,2,436,10,10,,58985
Bulgarien,250.03,287.35,260.64,290.65,110.36,2.55,5.79,1593.92,35.87,29.16,,11,25,6887,155,126,,432080
Chile,,,2.93,80.15,-40.33,0.0,0.0,454.92,16.54,8.27,,0,0,55,2,1,,12090
China,237.4,,-42.53,-26.51,-91.15,2.45,0.0,253.99,6.75,1.23,,4,0,414,11,2,,163000
Dominikanische Republik,,,358.73,564.01,229.9,0.0,0.0,2027.44,60.98,45.73,,0,0,133,4,3,,6560
Dänemark,,245.53,30.79,181.03,,0.0,5.16,578.06,25.81,0.0,,0,1,112,5,0,,19375
Eritrea,548.85,610.85,293.47,388.22,104.26,4.72,10.62,1739.03,44.83,28.32,,4,9,1474,38,24,,84760
Estland,,,99.96,,-1.92,0.0,0.0,883.75,0.0,13.6,,0,0,65,0,1,,7355
Finnland,,368.0,-50.97,-23.87,,0.0,6.99,216.71,6.99,0.0,,0,1,31,1,0,,14305
Frankreich,-0.55,-51.58,19.63,18.15,-73.91,0.72,0.72,528.75,10.85,3.62,,1,1,731,15,5,,138250
Gambia,1558.02,2321.95,999.57,2001.13,247.97,12.06,36.18,4859.81,192.95,48.24,,2,6,806,32,8,,16585
Georgien,572.58,1864.93,492.14,246.26,41.15,4.89,29.35,2617.1,31.8,19.57,,2,12,1070,13,8,,40885
Ghana,172.5,165.37,210.32,504.33,28.68,1.98,3.96,1371.52,55.49,17.84,,1,2,692,28,9,,50455
Griechenland,16.61,13.56,46.67,16.99,-24.54,0.85,1.7,648.23,10.74,10.46,,3,6,2293,38,37,,353730
Guinea,949.55,1433.13,1074.47,2227.59,37.67,7.63,22.9,5190.84,213.74,19.08,,2,6,1360,56,5,,26200
Indien,-50.45,-3.48,-22.53,29.52,-71.4,0.36,1.44,342.4,11.89,3.96,,1,4,950,33,11,,277455
Indonesien,,,-69.61,-26.87,,0.0,0.0,134.32,6.72,0.0,,0,0,40,2,0,,29780
Irak,871.91,871.38,459.95,860.2,251.58,7.07,14.51,2474.84,88.17,48.74,,19,39,6652,237,131,,268785
Iran,240.3,521.37,347.45,621.0,65.16,2.48,9.28,1977.6,66.21,22.89,,4,15,3196,107,37,,161610
Irland,,,-2.83,117.52,-63.98,0.0,0.0,429.46,19.98,4.99,,0,0,86,4,1,,20025
Israel,,,76.61,49.12,48.18,0.0,0.0,780.55,13.69,20.54,,0,0,114,2,3,,14605
Italien,51.15,15.66,65.56,53.92,0.83,1.1,1.73,731.71,14.13,13.98,,7,11,4659,90,89,,636730
Japan,,,-87.17,,,0.0,0.0,56.71,0.0,,,0,0,22,0,0,,38795
Jordanien,664.05,272.03,277.2,505.16,20.26,5.56,5.56,1667.13,55.57,16.67,,1,1,300,10,3,,17995
Kamerun,276.02,83.09,287.36,257.38,18.37,2.73,2.73,1712.02,32.82,16.41,,1,1,626,12,6,,36565
Kasachstan,757.09,39.11,145.89,13.14,-25.05,6.23,2.08,1086.75,10.39,10.39,,3,1,523,5,5,,48125
Kirgisistan,,444.73,98.83,165.82,17.39,0.0,8.14,878.76,24.41,16.27,,0,1,108,3,2,,12290
Kolumbien,,,131.33,112.37,-19.61,0.0,0.0,1022.43,19.5,11.14,,0,0,367,7,4,,35895
"Kongo, Demokratische Republik",,,284.28,431.47,111.24,0.0,0.0,1698.39,48.8,29.28,,0,0,174,5,3,,10245
"Korea, Republik",,,-69.68,-20.41,,0.0,0.0,134.0,7.31,0.0,,0,0,55,3,0,,41045
Kosovo,119.2,262.9,166.87,153.48,-3.39,1.59,5.42,1179.47,23.28,13.39,,5,17,3699,73,42,,313615
Kroatien,-3.13,41.5,36.83,7.41,-39.01,0.7,2.11,604.73,9.86,8.45,,3,9,2575,42,36,,425810
Lettland,573.73,720.12,278.07,113.45,6.05,4.9,12.25,1670.95,19.6,14.7,,2,5,682,8,6,,40815
Libanon,472.34,1154.08,584.73,534.64,200.29,4.16,18.73,3026.33,58.28,41.63,,2,9,1454,28,20,,48045
Libyen,,733.71,883.37,781.49,214.42,0.0,12.45,4346.2,80.95,43.59,,0,2,698,13,7,,16060
Litauen,633.09,18.98,245.83,170.96,28.21,5.33,1.78,1528.48,24.88,17.77,,3,1,860,14,10,,56265
Luxemburg,,,28.4,-14.17,13.72,0.0,0.0,567.49,7.88,15.76,,0,0,144,2,4,,25375
Malta,,,20.99,,,0.0,0.0,534.76,0.0,0.0,,0,0,5,0,0,,935
Marokko,567.92,1396.02,548.05,577.14,33.17,4.86,22.35,2864.22,62.18,18.46,,5,23,2948,64,19,,102925
Mexiko,,,-24.39,-9.02,-39.73,0.0,0.0,334.17,8.35,8.35,,0,0,80,2,2,,23940
Moldau,1228.1,1516.68,386.83,241.87,4.52,9.66,24.15,2151.65,31.39,14.49,,4,10,891,13,6,,41410
Montenegro,868.59,371.62,294.5,168.5,52.46,7.04,7.04,1743.57,24.66,21.13,,2,2,495,7,6,,28390
Niederlande,732.94,125.32,72.86,61.26,21.4,6.06,3.37,764.0,14.81,16.83,,9,5,1135,22,25,,148560
Nigeria,387.96,691.99,521.79,698.73,79.21,3.55,11.83,2748.14,73.35,24.84,,3,10,2323,62,21,,84530
Nordmazedonien,332.38,321.06,191.87,153.42,36.11,3.14,6.29,1289.98,23.27,18.87,,5,10,2051,37,30,,158995
Norwegen,,,53.07,53.49,,0.0,0.0,676.53,14.09,0.0,,0,0,48,1,0,,7095
Pakistan,41.86,245.37,165.2,484.26,145.62,1.03,5.16,1172.1,53.65,34.05,,1,5,1136,52,33,,96920
Peru,,,65.42,609.43,4.43,0.0,0.0,731.09,65.15,14.48,,0,0,101,9,2,,13815
Philippinen,,,-54.51,-3.77,-68.13,0.0,0.0,201.04,8.84,4.42,,0,0,91,4,2,,45265
Polen,138.43,271.5,196.81,75.0,-26.61,1.73,5.55,1311.82,16.07,10.17,,15,48,11347,139,88,,864980
Portugal,194.24,-52.24,58.66,55.36,-22.81,2.14,0.71,701.22,14.27,10.7,,3,1,983,20,15,,140185
Rumänien,111.58,348.88,176.18,151.37,6.25,1.54,6.71,1220.66,23.08,14.73,,14,61,11105,210,134,,909755
Russische Föderation,263.84,232.17,141.44,-2.74,-54.66,2.65,4.96,1067.1,8.93,6.28,,8,15,3226,27,19,,302315
Schweden,1382.12,140.56,61.79,95.65,-48.16,10.78,3.59,715.06,17.97,7.19,,3,1,199,5,2,,27830
Schweiz,238.32,229.46,48.65,167.96,42.0,2.46,4.92,656.99,24.61,19.69,,1,2,267,10,8,,40640
Serbien,555.47,317.36,292.3,287.37,61.37,4.77,6.23,1733.84,35.57,22.37,,13,17,4728,97,61,,272690
Slowakei,,220.4,245.79,177.96,26.59,0.0,4.79,1528.28,25.52,17.55,,0,3,958,16,11,,62685
Slowenien,,397.01,82.25,102.11,-19.67,0.0,7.42,805.49,18.56,11.14,,0,2,217,5,3,,26940
Somalia,730.58,1416.58,601.52,557.84,215.94,6.04,22.65,3100.51,60.41,43.8,,4,15,2053,40,29,,66215
Spanien,36.26,-0.48,56.29,56.49,-24.93,0.99,1.49,690.75,14.37,10.41,,2,3,1394,29,21,,201810
Sri Lanka,393.24,,126.46,95.33,107.03,3.59,0.0,1000.9,17.94,28.7,,1,0,279,5,8,,27875
Staatenlos,377.15,597.0,331.08,542.47,75.24,3.47,10.41,1905.26,59.0,24.29,,1,3,549,17,7,,28815
Syrien,605.04,991.68,448.28,622.59,162.64,5.13,16.31,2423.24,66.35,36.41,,50,159,23628,647,355,,975060
Südafrika,,,18.6,9.78,-27.28,0.0,0.0,524.19,10.08,10.08,,0,0,52,1,1,,9920
Thailand,,,-24.21,-27.04,-51.67,0.0,0.0,334.98,6.7,6.7,,0,0,200,4,4,,59705
Tunesien,1551.97,2198.21,844.49,1058.89,110.5,12.02,34.33,4174.39,106.42,29.18,,7,20,2432,62,17,,58260
Türkei,282.79,424.48,187.06,225.04,-7.52,2.78,7.83,1268.71,29.85,12.82,,43,121,19595,461,198,,1544480
Ukraine,64.91,75.65,93.25,-11.02,-52.41,1.2,2.62,854.12,8.17,6.6,,16,35,11394,109,88,,1334005
Ungarn,90.84,116.82,46.87,-39.54,-23.24,1.39,3.24,649.12,5.55,10.64,,3,7,1403,12,23,,216140
Usbekistan,,2252.31,73.31,129.58,,0.0,35.14,765.99,21.08,0.0,,0,5,109,3,0,,14230
Vietnam,,94.67,6.58,-5.0,-47.56,0.0,2.91,471.07,8.72,7.27,,0,4,648,12,10,,137560
Zypern,,,8.6,,130.84,0.0,0.0,480.0,0.0,32.0,,0,0,15,0,1,,3125
Ägypten,679.14,152.92,266.27,475.96,63.52,5.67,3.78,1618.81,52.89,22.67,,3,2,857,28,12,,52940
Österreich,,195.07,-6.01,31.99,3.33,0.0,4.41,415.4,12.12,14.32,,0,8,754,22,26,,181510
